,URL,Lottery Name,Date,Tier,Match,Winners,Amount,Numbers,Extra Numbers,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
1542,https://www.lottoland.com/en/german-lottery/results-winning-numbers/02-02-2019,German Lotto,43498,IV,5 Numbers,359,7104.6,"[3, 21, 29, 30, 34, 37]",3,,,,,
1543,https://www.lottoland.com/en/german-lottery/results-winning-numbers/02-02-2019,German Lotto,43498,V,4 Numbers + SuperBall,3366,252.5,"[3, 21, 29, 30, 34, 37]",3,,,,,
1544,https://www.lottoland.com/en/german-lottery/results-winning-numbers/02-02-2019,German Lotto,43498,VI,4 Numbers,26953,63,"[3, 21, 29, 30, 34, 37]",3,,,,,
1545,https://www.lottoland.com/en/german-lottery/results-winning-numbers/02-02-2019,German Lotto,43498,VII,3 Numbers + SuperBall,71985,23.6,"[3, 21, 29, 30, 34, 37]",3,,,,,
1546,https://www.lottoland.com/en/german-lottery/results-winning-numbers/02-02-2019,German Lotto,43498,VIII,3 Numbers,607021,12.6,"[3, 21, 29, 30, 34, 37]",3,,,,,
1547,https://www.lottoland.com/en/german-lottery/results-winning-numbers/02-02-2019,German Lotto,43498,IX,2 Numbers + SuperBall,596283,5,"[3, 21, 29, 30, 34, 37]",3,,,,,
1548,https://www.lottoland.com/en/german-lottery/results-winning-numbers/30-01-2019,German Lotto,30-01-2019,I,6 Numbers + SuperBall,0,4288612.2,"[7, 13, 19, 22, 23, 36]",6,,,,,
1549,https://www.lottoland.com/en/german-lottery/results-winning-numbers/30-01-2019,German Lotto,30-01-2019,II,6 Numbers,0,797663.3,"[7, 13, 19, 22, 23, 36]",6,,,,,
1550,https://www.lottoland.com/en/german-lottery/results-winning-numbers/30-01-2019,German Lotto,30-01-2019,III,5 Numbers + SuperBall,40,9970.7,"[7, 13, 19, 22, 23, 36]",6,,,,,
1551,https://www.lottoland.com/en/german-lottery/results-winning-numbers/30-01-2019,German Lotto,30-01-2019,IV,5 Numbers,408,2932.5,"[7, 13, 19, 22, 23, 36]",6,,,,,
1552,https://www.lottoland.com/en/german-lottery/results-winning-numbers/30-01-2019,German Lotto,30-01-2019,V,4 Numbers + SuperBall,2517,158.4,"[7, 13, 19, 22, 23, 36]",6,,,,,
1553,https://www.lottoland.com/en/german-lottery/results-winning-numbers/30-01-2019,German Lotto,30-01-2019,VI,4 Numbers,21415,37.2,"[7, 13, 19, 22, 23, 36]",6,,,,,
